,title,view,upload_date,like,description
0,What is Machine Learning? | Lecture 1 | Free Video,453 views,1 day ago,About,"Welcome to the first video of GeeksforGeeks' comprehensive Machine Learning Youtube Course! 🚀
"
1,A Day in the Life at IIT: Struggles & Successes 🎓 || Meet Apoorva GATE AIR 20,1.6K views,2 days ago,About,Watch Full Video: - 
2,DSA was hard until i learned these 10 Patterns | Master DSA Now,5.3K views,4 days ago,Videos,"These 10 Patterns Are All You Need to Solve DSA Questions

This video explores the 10 most essential problem-solving techniques that form the founda"
3,You're missing out by not starting the Three 90 Challenge!,265K views,8 days ago,About,"The best version of you is just 90 days away💪

In the GfG Three 90 Challenge, we bring you the ultimate preparation toolkit to ace your codi"
4,Which Programming Language should you learn in 2025 ? | *Free Resources Inside*,1.5K views,9 days ago,Videos,Start the challenge now: 
5,Your next 90 Days with Three 90 Challenge! | GeeksforGeeks,36K views,2 weeks ago,About,"Great coders are never made in a day, they are moulded over a period of errors, and with consistent efforts. So don't waste another day, choose a Tech of your choice and master it in the next 90 days!
"
6,How to Crack Gate CSE Exam in Just 30 Days ? | Ultimate Roadmap | ‪@geeksforgeeksgatecseandda‬,1.3K views,2 weeks ago,Videos,Start Learning Now: 
7,Three 90 Challenge Winners | GeeksforGeeks,517 views,2 weeks ago,Videos,Start the challenge now: 
8,Three 90 Challenge Winners | GeeksforGeeks,505 views,3 weeks ago,Videos,Start the challenge now: 
9,Three 90 Challenge by GeeksforGeeks | Commonly Asked Questions | FAQs,627 views,3 weeks ago,About,"Think it's impossible to learn, grow, and earn your fees back? Think again! 💡

Welcome to the Three 90 Challenge by GeeksforGeeks!"
10,Three 90 Challenge Winners | GeeksforGeeks,1.1K views,3 weeks ago,Videos,Start the challenge now: 
11,Three 90 Challenge Winners | Real Stories | GeeksforGeeks,3.2K views,3 weeks ago,About,Start the challenge now: 
12,Ready to take on the challenge? | 90% Refund Challenge by GeeksforGeeks,192K views,3 weeks ago,About,Start the challenge now: 
13,"I went to the House of a Microsoft Software Engineer | Resume Revealed |SDE Roadmap, Salary, Perks",5K views,4 weeks ago,Videos,Found the video inspiring? Now accelerate your tech journey with GeeksforGeeks! Use Code: GFGYT30 and get 30% Off on all GeeksforGeeks Courses. Click here to grab your discount now: 
14,The Only Cyber Security Roadmap you need for 2025 |,7K views,4 weeks ago,Videos,https://www.geeksforgeeks.org/cyber-s...
15,GeeksforGeeks is going to rock the world of Education with this move!,1.8K views,1 month ago,About,Full podcast out now! Watch now: 
16,How to get a job in MAANG as a College Student ? | Tips and Hacks | Roadmap,4.9K views,1 month ago,About,"How to Get a Job in MAANG as a College Student? | Tips, Hacks & Roadmap | Podcast with Google SDE 1 and Microsoft SDE 2
"
17,Get your Dream Internship in the First Year of College | Step by Step Guide,956 views,1 month ago,Videos,"How to get an Internship in 1st year of College?

Can You Follow the 1st-Year Internship Roadmap? 🤔 In this video, we lay out a roadmap fo"
18,GfG Practice Channel Now Home to GfG 160 Challenge New Videos!,770 views,1 month ago,About,"🚨 Important Update for GfG Followers! 🚨

Starting now, all GfG160 practice videos will be uploaded exclusively on the GFG Practice C"
19,GfG 160 | Day- 42 | Pair with given sum - 2Sum | 160 Days Daily DSA Problem Solving | GeeksforGeeks,676 views,1 month ago,About,Welcome to the daily solving of our GfG 160 Problem of Day 42 with Yash Dwivedi. We will discuss the entire problem step-by-step and work towards developing an optimized solution. This will not only help you brush up on your concepts of Data Structures and Algorithms but will also hel
20,These 7 AI Projects will give you an UNFAIR Advantage  | Get Placed,1.2K views,1 month ago,Videos,"These AI Projects will give you UNFAIR Advantage in job search.
Start Learning Now: "
